locus_key	trait	locus	abf_class	failure_reason	is_mhc	qc_exp_lead_present	qc_mdd_lead_present_main	qc_mdd_lead_present_noukbb
Cholesterol_in_very_large_HDL__locus167	Cholesterol_in_very_large_HDL	locus167	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus168	Cholesterol_in_very_large_HDL	locus168	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus169	Cholesterol_in_very_large_HDL	locus169	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus170	Cholesterol_in_very_large_HDL	locus170	prior_sensitive_coloc	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus171	Cholesterol_in_very_large_HDL	locus171	distinct_signal	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus172	Cholesterol_in_very_large_HDL	locus172	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus173	Cholesterol_in_very_large_HDL	locus173	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus174	Cholesterol_in_very_large_HDL	locus174	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus175	Cholesterol_in_very_large_HDL	locus175	trait_specific_or_low_power	none	FALSE	TRUE	TRUE	TRUE
Cholesterol_in_very_large_HDL__locus176	Cholesterol_in_very_large_HDL	locus176	inconclusive	posterior_indeterminate	FALSE	TRUE	TRUE	TRUE
